epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,7605.03,0.99757,0.57018,0.00645,0.92173,0.82947,0.89787,0.54561,1.41153,0.71888,0.0112,0.000548,0.000548,0.000548
112,7671.85,1.00584,0.56338,0.00638,0.91217,0.83225,0.89984,0.54865,1.4111,0.73393,0.01117,0.0005348,0.0005348,0.0005348
113,7738.73,1.00538,0.57435,0.00636,0.92071,0.83551,0.896,0.54909,1.42004,0.71198,0.01132,0.0005216,0.0005216,0.0005216
114,7805.14,1.00618,0.57084,0.00649,0.91942,0.8334,0.8955,0.54854,1.41599,0.73676,0.01125,0.0005084,0.0005084,0.0005084
115,7871.62,0.99695,0.56106,0.00632,0.93151,0.82599,0.89876,0.54696,1.4152,0.71697,0.01124,0.0004952,0.0004952,0.0004952
116,7938.24,1.00262,0.56068,0.00627,0.92587,0.8275,0.89824,0.54744,1.41465,0.71961,0.01114,0.000482,0.000482,0.000482
117,8004.26,0.98209,0.5551,0.00629,0.93411,0.81991,0.89679,0.5469,1.42107,0.72244,0.0113,0.0004688,0.0004688,0.0004688
118,8070.93,0.98118,0.56003,0.00617,0.92283,0.82834,0.89681,0.54694,1.41919,0.72063,0.01124,0.0004556,0.0004556,0.0004556
119,8137.6,0.9809,0.55188,0.00621,0.93191,0.82455,0.89814,0.54629,1.42071,0.7203,0.01134,0.0004424,0.0004424,0.0004424
120,8204.14,0.98125,0.56046,0.00624,0.92479,0.82462,0.89822,0.54737,1.41542,0.72897,0.01127,0.0004292,0.0004292,0.0004292
121,8270.67,0.98322,0.55595,0.0062,0.93133,0.82372,0.8951,0.54963,1.40966,0.72864,0.01113,0.000416,0.000416,0.000416
122,8337.34,0.973,0.54457,0.00609,0.9261,0.82457,0.89867,0.54973,1.41282,0.7141,0.01118,0.0004028,0.0004028,0.0004028
123,8404.01,0.96523,0.53818,0.00614,0.92324,0.82075,0.8964,0.54806,1.40941,0.72985,0.0112,0.0003896,0.0003896,0.0003896
124,8470.68,0.95631,0.53393,0.00596,0.91394,0.82708,0.89488,0.54779,1.41342,0.73179,0.01132,0.0003764,0.0003764,0.0003764
125,8536.87,0.96324,0.53616,0.00608,0.93807,0.81134,0.89275,0.54896,1.41341,0.71396,0.01134,0.0003632,0.0003632,0.0003632
126,8603.27,0.96199,0.54759,0.00605,0.93882,0.81147,0.89309,0.54854,1.41359,0.72062,0.01128,0.00035,0.00035,0.00035
127,8669.82,0.95912,0.53185,0.00602,0.92152,0.82708,0.8943,0.54777,1.41428,0.72086,0.01131,0.0003368,0.0003368,0.0003368
128,8736.42,0.95141,0.53285,0.00586,0.92606,0.82403,0.89208,0.54881,1.41025,0.731,0.01127,0.0003236,0.0003236,0.0003236
129,8806.53,0.9517,0.53235,0.00607,0.93208,0.81606,0.89274,0.54931,1.41539,0.71956,0.01141,0.0003104,0.0003104,0.0003104
130,8873.57,0.94658,0.52767,0.00587,0.91808,0.83045,0.89321,0.54994,1.40818,0.72742,0.01124,0.0002972,0.0002972,0.0002972
131,8940.47,0.94454,0.52399,0.00579,0.92843,0.82066,0.89522,0.54914,1.41094,0.7238,0.01131,0.000284,0.000284,0.000284
